,video_id,comment_time,comment_text,sentiment,score,id,group_number,published_at_max
0,OniL0JTAj7Q,2014-05-23 21:02:22+00:00,"You cant describe a cars look on a person who is deceased,  you sad ungreatful people you disgust me if this doesnt get removed ill will put it on social networking and make your disgraceful claim viral",NEGATIVE,0.9989877343177795,OniL0JTAj7Q,68,2014-05-28 16:26:46+00:00
1,d2EFeJ1lxNY,2014-08-21 18:07:32+00:00,"Not to be... ehm... complaining, but... 30 VIDEOS in 1 day? WTF? XD",NEGATIVE,0.9979817867279053,d2EFeJ1lxNY,80,2014-08-22 15:50:31+00:00
2,Wq1xkBtkN7M,2014-08-23 15:10:07+00:00,"It's always good to hear what actual buyers think.  After she expressed her needs, I would have chosen the higher trims and bigger engines for her to sample because she wanted space, style and sporty handling.  For example she hated the Focus because of the wrong/boring color and trim, low engine and amenities.  I'd love for you guys to asses your buyers needs and then bring an assortment of cars closest to their wants/needs.",POSITIVE,0.9772863984107971,Wq1xkBtkN7M,81,2014-08-23 16:03:41+00:00
3,_o4LOZdySeo,2014-08-22 17:34:06+00:00,"Ok, so when you put your wife in the reviews it's one thing, but when you put in friends from her yoga class - you're pushing your luck, buddy...",POSITIVE,0.9983407258987427,_o4LOZdySeo,81,2014-08-23 16:03:41+00:00
4,nghCB57ISr4,2015-03-06 09:17:41+00:00,"Ford GT because, lighter, broader torque band (from the turbos), in my opinion a better interior, and it's rwd. The GT is a race car with a nice interior, the lambo is all about attracting attention.",POSITIVE,0.9744071960449219,nghCB57ISr4,108,2015-03-06 15:47:36+00:00
5,nghCB57ISr4,2015-03-06 05:31:16+00:00,"Lamborghini always, no questions about it.",POSITIVE,0.9876844882965088,nghCB57ISr4,108,2015-03-06 15:47:36+00:00
6,nghCB57ISr4,2015-03-05 23:48:54+00:00,"FORD ALL THE WAY!!! In 2 years lamborgihi will come out with a newer version, and the GT will be another classic",POSITIVE,0.9979287385940552,nghCB57ISr4,108,2015-03-06 15:47:36+00:00
7,nghCB57ISr4,2015-03-05 17:10:46+00:00,Lamborghini Aventador SV.,NEGATIVE,0.9740061163902283,nghCB57ISr4,108,2015-03-06 15:47:36+00:00
9,h0A4wHcmgAk,2015-03-06 06:21:54+00:00,I would love to see the two on a good track together for a hot lap.,POSITIVE,0.99980229139328,h0A4wHcmgAk,108,2015-03-06 15:47:36+00:00
10,h0A4wHcmgAk,2015-03-06 03:58:12+00:00,"Are they coming up with a sedan version of type R like the previous FD2 R? Still love the previous FD2 R, have to admit this Focus RS 2016 looks awesome.",POSITIVE,0.9988622665405273,h0A4wHcmgAk,108,2015-03-06 15:47:36+00:00
